instancia,autoria,algoritmo,q-medio,q-desvio,t-medio
Djibouti,Paulo.Werle,BLMM2opt,6932,340.28,0
Qatar,Paulo.Werle,BLMM2opt,76678,1743.89,12
Uruguay,Paulo.Werle,BLMM2opt,1634513,16144.66,44
Western Sahara,Paulo.Werle,BLMM2opt,28233,472.22,0
Zimbabwe,Paulo.Werle,BLMM2opt,2390366,41465.56,56
