instancia,autoria,algoritmo,q-medio,q-desvio,t-medio
Djibouti,Paulo.Werle,BTA,19127,505.1,3
Qatar,Paulo.Werle,BTA,78660,1004.32,19
Uruguay,Paulo.Werle,BTA,1516368,8395.09,79
Western Sahara,Paulo.Werle,BTA,65730,2369.11,3
Zimbabwe,Paulo.Werle,BTA,2193012,8138.81,265
