instancia,autoria,algoritmo,q-medio,q-desvio,t-medio
Djibouti,Paulo.Werle,BCGα && BLPM2opt,12606,404.63,0
Qatar,Paulo.Werle,BCGα && BLPM2opt,38768,562.05,1
Uruguay,Paulo.Werle,BCGα && BLPM2opt,742480,6725.63,4
Western Sahara,Paulo.Werle,BCGα && BLPM2opt,41624,2369.7,0
Zimbabwe,Paulo.Werle,BCGα && BLPM2opt,905016,7236.45,5
