instancia,autoria,algoritmo,q-medio,q-desvio,t-medio
Djibouti,Paulo.Werle,BCCF,14724,547.02,2
Qatar,Paulo.Werle,BCCF,64205,967.48,12
Uruguay,Paulo.Werle,BCCF,1428899,16380.51,44
Western Sahara,Paulo.Werle,BCCF,47730,2168.74,2
Zimbabwe,Paulo.Werle,BCCF,2063727,21946.64,56
