instancia,autoria,algoritmo,q-medio,q-desvio,t-medio
Djibouti,Paulo.Werle,BT2opt,6885,329.46,2
Qatar,Paulo.Werle,BT2opt,82088,3507.41,12
Uruguay,Paulo.Werle,BT2opt,1625556,15692.56,45
Western Sahara,Paulo.Werle,BT2opt,28211,498.93,2
Zimbabwe,Paulo.Werle,BT2opt,2351988,34936.01,57
