Instancia,   Lower bound,Upper bound,Menor Tempo       ,Maior Tempo       ,Média (Aptidão),Desvio padrão (Aptidão),Variancia (Aptidão),Mediana (Aptidão),Média (Tempo)     ,Desvio padrão (Tempo),Variancia (Tempo)    ,Mediana (Tempo)
tai20_5.txt  ,1297      ,1313       ,3.953245162963867 ,4.180747032165527 ,1301.0         ,5.440588203494177      ,29.6               ,1297.0           ,3.9950098752975465,0.06617019492401752  ,0.004378494696282473 ,3.9698950052261353
tai20_10.txt ,1683      ,1712       ,4.998990774154663 ,5.557924270629883 ,1702.6         ,9.101648202386203      ,82.84              ,1703.5           ,5.300613141059875 ,0.17157526450925745  ,0.029438071391421662 ,5.3202290534973145
tai20_20.txt ,2401      ,2447       ,6.913118124008179 ,7.514709234237671 ,2424.2         ,15.68948692596415      ,246.16             ,2428.0           ,7.097957587242126 ,0.2073077061384273   ,0.04297648502437653  ,6.988300442695618
tai50_5.txt  ,2741      ,2753       ,30.041675090789795,30.178946018218994,2749.0         ,4.09878030638384       ,16.8               ,2751.0           ,30.120434498786928,0.052666232756014425 ,0.0027737320727106865,30.135566353797913
tai50_10.txt ,3296      ,3340       ,30.050074815750122,30.37240719795227 ,3315.2         ,10.552724766618336     ,111.36000000000001 ,3314.0           ,30.212028789520264,0.0851180756838301   ,0.00724508680811823  ,30.210205078125
tai50_20.txt ,4256      ,4341       ,30.057706832885742,30.485480785369873,4315.3         ,22.441256649305537     ,503.61             ,4322.5           ,30.291574358940125,0.13810339128346932  ,0.01907254668399503  ,30.35360586643219
tai100_5.txt ,5617      ,5648       ,35.36043906211853 ,35.95918893814087 ,5631.4         ,10.239140588936163     ,104.84             ,5632.5           ,35.51271948814392 ,0.19222190826923358  ,0.03694926201866565  ,35.44304311275482
tai100_10.txt,6345      ,6409       ,31.916196823120117,43.177062034606934,6376.6         ,18.21098569545317      ,331.64             ,6375.5           ,37.320866918563844,3.040011619548301    ,9.241670646988682    ,36.874016880989075
tai100_20.txt,7259      ,7303       ,35.75258207321167 ,37.24285125732422 ,7276.6         ,15.396103403134184     ,237.04000000000002 ,7274.0           ,36.29463574886322 ,0.4757670064427207   ,0.2263542444194678   ,36.12760400772095
tai200_10.txt,11498     ,11606      ,305.7625832557678 ,348.87566900253296,11555.1        ,34.78634789684022      ,1210.0900000000001 ,11559.0          ,323.6943556547165 ,13.973949603198893   ,195.27126751274247   ,320.3241319656372
